country,province,zone,district_code,zh,en
hk,hk,hki,central_and_western_district,中西區,Central and western district
hk,hk,hki,eastern_district,東區,Eastern district
hk,hk,hki,southern_district,南區,Southern district
hk,hk,hki,wan_chai_district,灣仔區,Wan chai district
hk,hk,kln,kowloon_city_district,九龍城,Kowloon city district
hk,hk,kln,kwun_tong_district,觀塘區,Kwun tong district
hk,hk,kln,sham_shui_po_district,深水埗區,Sham shui po district
hk,hk,kln,wong_tai_sin_district,黃大仙區,Wong tai sin district
hk,hk,kln,yau_tsim_mong_district,油尖旺區,Yau tsim mong district
hk,hk,nt,yuen_long_district,元朗區,Yuen long district
hk,hk,nt,tuen_mun_district,屯門區,Tuen mun district
hk,hk,nt,tsuen_wan_district,荃灣區,Tsuen wan district
hk,hk,nt,tai_po_district,大埔區,Tai po district
hk,hk,nt,sha_tin_district,沙田區,Sha tin district
hk,hk,nt,sai_kung_district,西貢區,Sai kung district
hk,hk,nt,north_district,北區,North district
hk,hk,nt,kwai_tsing_district,葵青區,Kwai tsing district
hk,hk,isn,island_district,離島,Island
