,google place id,country,province,zone,subarea,district
香港公園體育館,ChIJW4nghmUABDQRP7eaKqwMHqs,hk,,hki,中西區,central_and_western_district
香港壁球中心,ChIJ5dY3jGUABDQRail8Fd0zJfs,hk,,hki,中西區,central_and_western_district
石塘咀體育館,ChIJ0QMmcIT_AzQRT48xrzd4MSk,hk,,hki,中西區,central_and_western_district
上環體育館,ChIJ_ZwJnX4ABDQRCBwa-btwPyI,hk,,hki,中西區,central_and_western_district
士美非路體育館,ChIJoQQtgpD_AzQRmGz-gp-0Imk,hk,,hki,中西區,central_and_western_district
中山紀念公園體育館,ChIJI5NfD4D_AzQRAScUQ5okkgs,hk,,hki,中西區,central_and_western_district
柴灣體育館,ChIJSdNLDigCBDQRfFUwK-Zh20w,hk,,hki,東區,eastern_district
港島東體育館,ChIJLfTRRXEBBDQR--9X9cSBcn0,hk,,hki,東區,eastern_district
渣華道體育館,ChIJudzGxQQBBDQR6pg41D87WUA,hk,,hki,東區,eastern_district
鰂魚涌體育館,ChIJ84hFpAsBBDQReY-gTCF2Hcg,hk,,hki,東區,eastern_district
西灣河體育館,ChIJEdtWk3YBBDQRxT0457JGpO0,hk,,hki,東區,eastern_district
小西灣體育館,ChIJZQ9g7S8CBDQRJJmAlReYX9U,hk,,hki,東區,eastern_district
香港仔體育館,ChIJzS3MQgMABDQRzX_I1pl3-C0,hk,,hki,南區,southern_district
香港仔網球及壁球中心,ChIJO8CcOBwABDQRu0OW7IMKevA,hk,,hki,南區,southern_district
鴨脷洲體育館,ChIJ0w1nqQIABDQRBMPch7XEcdw,hk,,hki,南區,southern_district
赤柱體育館,ChIJOUaVh2yqBjQREzSfxiYz_IQ,hk,,hki,南區,southern_district
黃竹坑體育館,ChIJY2migSMABDQRXbgda7iQdF0,hk,,hki,南區,southern_district
漁光道體育館,ChIJmxl8RBsABDQRSqN3aAtz1TY,hk,,hki,南區,southern_district
港灣道體育館,ChIJERN9C1kABDQRyP_WBl200NA,hk,,hki,灣仔區,wan_chai_district
駱克道體育館,ChIJhVUQvVsABDQR3G7GEo2RXyM,hk,,hki,灣仔區,wan_chai_district
黃泥涌體育館,ChIJnfHlIEwABDQRHgcDnXqopa8,hk,,hki,灣仔區,wan_chai_district
佛光街體育館,ChIJHXQ-GNsABDQR2Ucsq8a2wf4,hk,,kln,九龍城區,kowloon_city_district
何文田體育館,ChIJdRyjvdwABDQRAju3ETv1WDs,hk,,kln,九龍城區,kowloon_city_district
紅磡市政大廈體育館,ChIJtRfLPt4ABDQRJnweo3cDk94,hk,,kln,九龍城區,kowloon_city_district
九龍城體育館,ChIJp6C93SoHBDQRJgAAcJ_ESNw,hk,,kln,九龍城區,kowloon_city_district
土瓜灣體育館,ChIJFxRCxtcABDQREQl841znXLg,hk,,kln,九龍城區,kowloon_city_district
彩榮路體育館,ChIJ_4EdLesHBDQRhbSQ_IxDhdg,hk,,kln,觀塘區,kwun_tong_district
振華道體育館,ChIJy2bIWksBBDQRzz1a9ws_W_4,hk,,kln,觀塘區,kwun_tong_district
曉光街體育館,ChIJr-v4hFIBBDQRNX9ftQ6Khkw,hk,,kln,觀塘區,kwun_tong_district
九龍灣體育館,ChIJH9nzD8sGBDQRrVeZgEjpi18,hk,,kln,觀塘區,kwun_tong_district
藍田(南)體育館,ChIJ7Tt1q1gBBDQRdThl2fMXNq4,hk,,kln,觀塘區,kwun_tong_district
鯉魚門體育館,ChIJT7A-AWIBBDQR2Msj6aFwojQ,hk,,kln,觀塘區,kwun_tong_district
牛頭角道體育館,ChIJM3kAiUoBBDQR3vYNp1QYInE,hk,,kln,觀塘區,kwun_tong_district
瑞和街體育館,ChIJ20fcX04BBDQR60OyS4C46aQ,hk,,kln,觀塘區,kwun_tong_district
順利邨體育館,ChIJb-LCuLEGBDQRI-_0Fet-yJg,hk,,kln,觀塘區,kwun_tong_district
長沙灣體育館,ChIJIyOZR1IHBDQRtf3iN3x7FLk,hk,,kln,深水埗區,sham_shui_po_district
歌和老街壁球及乒乓球中心,ChIJrQun2DYHBDQRdN_p8bfcEs8,hk,,kln,深水埗區,sham_shui_po_district
荔枝角公園體育館,ChIJ-zNI9Kv4AzQRZa7s0wXl2qY,hk,,kln,深水埗區,sham_shui_po_district
北河街體育館,ChIJ3eu1mrMABDQRZcJF2uWF1Jo,hk,,kln,深水埗區,sham_shui_po_district
保安道體育館,ChIJLyQB2k0HBDQRA2JFElmCIm0,hk,,kln,深水埗區,sham_shui_po_district
深水埗體育館,ChIJh7LLt2QBBDQRsfvQDz0wty8,hk,,kln,深水埗區,sham_shui_po_district
石硤尾公園體育館,ChIJxzmdbDUHBDQRiIFSx_A9Mrs,hk,,kln,深水埗區,sham_shui_po_district
通州街公園壁球中心,ChIJsw8Od7EABDQR1AjAD9x9pw0,hk,,kln,深水埗區,sham_shui_po_district
彩虹道羽毛球中心,ChIJX7CeUdcGBDQRQEx0Y_Djr-w,hk,,kln,黃大仙區,wong_tai_sin_district
彩虹道體育館,ChIJIxuURtcGBDQR_Rbbpg76nFs,hk,,kln,黃大仙區,wong_tai_sin_district
竹園體育館,ChIJKxMLPd8GBDQRBkxPvvA54sY,hk,,kln,黃大仙區,wong_tai_sin_district
東啟德體育館,ChIJ410KX9AGBDQR9NZu1GobsJ0,hk,,kln,黃大仙區,wong_tai_sin_district
摩士公園體育館,ChIJw-zgEigHBDQRaHKUfConAh8,hk,,kln,黃大仙區,wong_tai_sin_district
牛池灣體育館,ChIJUYq8y8gGBDQRJkT8HzVpR6c,hk,,kln,黃大仙區,wong_tai_sin_district
蒲崗村道體育館,ChIJxThA4dwGBDQR7TmBkd3HnvY,hk,,kln,黃大仙區,wong_tai_sin_district
界限街一號體育館,ChIJ-_t21csABDQRZiOYOBOoeoM,hk,,kln,油尖旺區,yau_tsim_mong_district
界限街二號體育館,ChIJ_TKY1csABDQR510Y8uy91y0,hk,,kln,油尖旺區,yau_tsim_mong_district
花園街體育館,ChIJ-z3EYsgABDQRPt-QMthjJWE,hk,,kln,油尖旺區,yau_tsim_mong_district
九龍公園體育館,ChIJP9Jc8-wABDQR6Ic9ON2_rjE,hk,,kln,油尖旺區,yau_tsim_mong_district
官涌體育館,ChIJXXCYSesABDQRYOW7T49wlxA,hk,,kln,油尖旺區,yau_tsim_mong_district
大角咀體育館,ChIJoTc1Q7cABDQRT02YiPRE_18,hk,,kln,油尖旺區,yau_tsim_mong_district
鳳琴街體育館,ChIJ0cZWbqfwAzQRfKrmGBjHRck,hk,,nt,元朗區,yuen_long_district
朗屏體育館,ChIJQUm1wJjwAzQRrALhT9kD6yg,hk,,nt,元朗區,yuen_long_district
屏山天水圍體育館,ChIJ0foe0IHwAzQR8C4I9Cd12No,hk,,nt,元朗區,yuen_long_district
天暉路體育館,ChIJV7TPZmHwAzQRkbRNao9Ci8M,hk,,nt,元朗區,yuen_long_district
天瑞體育館,ChIJI61JSnzwAzQRy7R_V_aypuM,hk,,nt,元朗區,yuen_long_district
天水圍體育館,ChIJOyBSeIbwAzQRW3b1l85esQo,hk,,nt,元朗區,yuen_long_district
元朗體育館,ChIJUYcnPHX6AzQR0W0kj9Wi5J0,hk,,nt,元朗區,yuen_long_district
良田體育館,ChIJP25Ocyj7AzQRjhH5RLu32KE,hk,,nt,屯門區,tuen_mun_district
兆麟體育館,ChIJBTIPrZ37AzQRcHJM5YdoRQs,hk,,nt,屯門區,tuen_mun_district
大興體育館,ChIJdxJ9FyH7AzQRXeTXa_2dWzY,hk,,nt,屯門區,tuen_mun_district
